date,pm25,pm10,o3,no2,so2,co
2016-12-13,,49.0,,,,
2016-12-14,,47.0,,,,
2016-12-15,,24.0,,,,
2016-12-16,,51.0,,,,
2016-12-17,,76.0,,,,
2016-12-18,,55.0,,,,
2016-12-19,,66.0,,,,
2016-12-20,,65.0,,,,
2016-12-21,,77.0,,,,
2016-12-22,,56.0,,,,
2016-12-23,,46.0,,,,
2016-12-24,,39.0,,,,
2016-12-25,,16.0,,,,
2016-12-26,,11.0,,,,
2016-12-27,,14.0,,,,
2016-12-28,,13.0,,,,
2016-12-29,,29.0,,,,
2016-12-30,,73.0,,,,
2016-12-31,,80.0,,,,
2017-01-01,,84.0,,,,
2017-01-02,,58.0,,,,
2017-01-03,,29.0,,,,
2017-01-04,,11.0,,,,
2017-01-05,,15.0,,,,
2017-01-06,,24.0,,,,
2017-01-07,,74.0,,,,
2017-01-08,,83.0,,,,
2017-01-09,,101.0,,,,
2017-01-10,,95.0,,,,
2017-01-11,,149.0,,,,
2017-01-12,,31.0,,,,
2017-01-13,,31.0,,,,
2017-01-14,,27.0,,,,
2017-01-15,,36.0,,,,
2017-01-16,,55.0,,,,
2017-01-17,,59.0,,,,
2017-01-18,,32.0,,,,
2017-01-19,,62.0,,,,
2017-01-20,,86.0,,,,
2017-01-21,,49.0,,,,
2017-01-22,,48.0,,,,
2017-01-23,,103.0,,,,
2017-01-24,,77.0,,,,
2017-01-25,,100.0,,,,
2017-01-26,,70.0,,,,
2017-01-27,,138.0,,,,
2017-01-28,,128.0,,,,
2017-01-29,,145.0,,,,
2017-01-30,,183.0,,,,
2017-01-31,,120.0,,,,
2017-02-01,,102.0,,,,
2017-02-02,,89.0,,,,
2017-02-03,,93.0,,,,
2017-02-04,,56.0,,,,
2017-02-05,,56.0,,,,
2017-02-06,,57.0,,,,
2017-02-07,,37.0,,,,
2017-02-08,,31.0,,,,
2017-02-09,,43.0,,,,
2017-02-10,,48.0,,,,
2017-02-11,,49.0,,,,
2017-02-12,,38.0,,,,
2017-02-13,,46.0,,,,
2017-02-14,,101.0,,,,
2017-02-15,,128.0,,,,
2017-02-16,,94.0,,,,
2017-02-17,,77.0,,,,
2017-02-18,,56.0,,,,
2017-02-19,,52.0,,,,
2017-02-20,,29.0,,,,
2017-02-21,,12.0,,,,
2017-02-22,,14.0,,,,
2017-02-23,,15.0,,,,
2017-02-24,,13.0,,,,
2017-02-25,,26.0,,,,
2017-02-26,,26.0,,,,
2017-02-27,,31.0,,,,
2017-02-28,,34.0,,,,
2017-03-01,,22.0,,,,
2017-03-02,,22.0,,,,
2017-03-03,,32.0,,,,
2017-03-04,,35.0,,,,
2017-03-05,,17.0,,,,
2017-03-06,,22.0,,,,
2017-03-07,,37.0,,,,
2017-03-08,,38.0,,,,
2017-03-09,,46.0,,,,
2017-03-10,,39.0,,,,
2017-03-11,,23.0,,,,
2017-03-12,,24.0,,,,
2017-03-13,,36.0,,,,
2017-03-14,,76.0,,,,
2017-03-15,,61.0,,,,
2017-03-16,,37.0,,,,
2017-03-17,,43.0,,,,
2017-03-18,,14.0,,,,
2017-03-19,,12.0,,,,
2017-03-20,,22.0,,,,
2017-03-21,,40.0,,,,
2017-03-22,,34.0,,,,
2017-03-23,,20.0,,,,
2017-03-24,,42.0,,,,
2017-03-25,,48.0,,,,
2017-03-26,,16.0,,,,
2017-03-27,,48.0,,,,
2017-03-28,,50.0,,,,
2017-03-29,,46.0,,,,
2017-03-30,,30.0,,,,
2017-03-31,,45.0,,,,
2017-04-01,,39.0,,,,
2017-04-02,,31.0,,,,
2017-04-03,,22.0,,,,
2017-04-04,,22.0,,,,
2017-04-05,,34.0,,,,
2017-04-06,,14.0,,,,
2017-04-07,,18.0,,,,
2017-04-08,,12.0,,,,
2017-04-09,,28.0,,,,
2017-04-10,,33.0,,,,
2017-04-11,,19.0,,,,
2017-04-12,,22.0,,,,
2017-04-13,,14.0,,,,
2017-04-14,,22.0,,,,
2017-04-15,,30.0,,,,
2017-04-16,,14.0,,,,
2017-04-17,,21.0,,,,
2017-04-18,,11.0,,,,
2017-04-19,,14.0,,,,
2017-04-20,,17.0,,,,
2017-04-21,,33.0,,,,
2017-04-22,,20.0,,,,
2017-04-23,,17.0,,,,
2017-04-24,,22.0,,,,
2017-04-25,,28.0,,,,
2017-04-26,,16.0,,,,
2017-04-27,,12.0,,,,
2017-04-28,,16.0,,,,
2017-04-29,,27.0,,,,
2017-04-30,,23.0,,,,
2017-05-01,,20.0,,,,
2017-05-02,,21.0,,,,
2017-05-03,,25.0,,,,
2017-05-04,,25.0,,,,
2017-05-05,,21.0,,,,
2017-05-06,,26.0,,,,
2017-05-07,,31.0,,,,
2017-05-08,,17.0,,,,
2017-05-09,,13.0,,,,
2017-05-10,,22.0,,,,
2017-05-11,,32.0,,,,
2017-05-12,,27.0,,,,
2017-05-13,,30.0,,,,
2017-05-14,,24.0,,,,
2017-05-15,,28.0,,,,
2017-05-16,,30.0,,,,
2017-05-17,,24.0,,,,
2017-05-18,,27.0,,,,
2017-05-19,,26.0,,,,
2017-05-20,,33.0,,,,
2017-05-21,,22.0,,,,
2017-05-22,,21.0,,,,
2017-05-23,,31.0,,,,
2017-05-24,,21.0,,,,
2017-05-25,,21.0,,,,
2017-05-26,,24.0,,,,
2017-05-27,,17.0,,,,
2017-05-28,,23.0,,,,
2017-05-29,,41.0,,,,
2017-05-30,,27.0,,,,
2017-05-31,,22.0,,,,
2017-06-01,,21.0,,,,
2017-06-02,,26.0,,,,
